brand,items_found
Pou Chong Bros.; Peter Lane,1

Ramdev Food,1

RK spices;gobardanga,1

Shiv Enterprise,1

Shri Vanaspati,1

Starhome Super Market,1

Tirumala Milk Products,1

Unidentified,1

Vasaaya Foods,1

Vitrim Kala Mamak,1

Zee Maize,1

Amin Singh Cenre,1

Aquapure,1

Assal Foods,1

Cachet Pharmaceutical; Mumbai,1

Diamond Agarbatti,1

Dry Fruits,1

GD Food,1

Hindustan Syringes,1

Intros Hotel Supply,1

Jhama,1

Kishan Bidi,1

Manjais,1

Mead Johnson,1

MT Pune,1

Nature's Essence,1

Nutralla India,1

Panjab Sind Food ltd,1

Pratik Polyprints,1

Prince Trade PVT LTD,1

Ravalgaon Sugar Manufacturer,1

Shalimar Chemical Works Private Ltd.,1

Silver Touch Ltd,1

Sunil Kumar and Co.,1

Win Medical Pvt Ltd,1

Alka foods pvt ltd,1

Delhivery,1

Gagan giri masala,1

Greendot Health Foods Pvt Ltd,1

Hawai Herbals,1

I&T,1

Jai Anand,1

Kookie Jar PVT. LTD.,1

MGC,1

Plain Pizza,1

RGB Healthcare,1

Sabsamay Foods,1

Shelly Sales,1

Shri Mahila Griha Udyog Lijjat Papad,1

Star Drinks,1

Surfina Gull,1

Ugam Agro Dairy,1

V.P. bedakar,1

Apna Bazaar,1

Ashwin Pharma,1

CRI,1

Essel Kitchenware ltd,1

Foundation Brake Manufacturing Ltd,1

Gwalior Ltd,1

Himalaya Lyka labs,1

Kuber,1

MR Dutta,1

North East Beverages,1

Pest Control India,1

Prakhar Food Products,1

Premium Enterprises,1

Radiant Industries,1

Sethia Foods Pvt. Ltd,1

Shree Ganpati Industries,1

Swissym Foods,1

Torrent Pharma,1

Venky's,1

Hugo Boss,1

7 days,1

Barishal Bakers,1

Bhawani Silicates Industry,1

Cisco,1

DY Tech Process,1

Fassai,1

G Moms,1

General Commodities PVT LTD,1

Grah Udyog,1

Kohinoor Speciality,1

Mabile Mart,1

Oleo for Fail,1

Prome Agro Foods,1

